"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Pillar Point",25,1.91,0.6,9,0.69,0.7,"05-23-2011","Pre-SSWD"
"Pillar Point",16,1.22,0.38,3,0.23,0.23,"06-08-2011","Pre-SSWD"
"Pillar Point",38,2.9,0.91,8,0.61,0.62,"08-30-2011","Pre-SSWD"
"Pillar Point",50,3.82,1.2,10,0.76,0.77,"10-26-2011","Pre-SSWD"
"Pillar Point",46,3.51,1.11,11,0.84,0.85,"11-09-2011","Pre-SSWD"
"Pillar Point",67,5.11,1.61,22,1.68,1.7,"01-19-2012","Pre-SSWD"
"Pillar Point",20,1.53,0.48,9,0.69,0.7,"02-16-2012","Pre-SSWD"
"Pillar Point",25,1.91,0.6,10,0.76,0.77,"05-11-2012","Pre-SSWD"
"Pillar Point",16,1.22,0.38,7,0.53,0.54,"05-11-2012","Pre-SSWD"
"Pillar Point",15,1.15,0.36,6,0.46,0.47,"05-11-2012","Pre-SSWD"
"Pillar Point",30,2.29,0.72,4,0.31,0.31,"10-15-2012","Pre-SSWD"
"Pillar Point",53,4.05,1.28,19,1.45,1.47,"12-10-2012","Pre-SSWD"
"Pillar Point",30,2.29,0.72,15,1.15,1.17,"12-10-2012","Pre-SSWD"
"Pillar Point",48,3.66,1.15,36,2.75,2.79,"12-11-2012","Pre-SSWD"
"Pillar Point",57,4.35,1.37,23,1.76,1.78,"12-11-2012","Pre-SSWD"
"Pillar Point",39,2.98,0.94,8,0.61,0.62,"04-01-2013","Pre-SSWD"
"Pillar Point",3,0.23,0.07,0,0,0,"10-17-2013","Post-SSWD"
"Pillar Point",2,0.15,0.05,2,0.15,0.15,"11-02-2013","Post-SSWD"
"Pillar Point",5,0.38,0.12,0,0,0,"02-27-2014","Post-SSWD"
"Pillar Point",5,0.38,0.12,0,0,0,"02-27-2014","Post-SSWD"
"Pillar Point",6,0.46,0.14,2,0.15,0.15,"07-13-2014","Post-SSWD"
"Pillar Point",2,0.15,0.05,1,0.08,0.08,"03-17-2015","Post-SSWD"
"Pillar Point",4,0.31,0.1,0,0,0,"04-23-2015","Post-SSWD"
"Pillar Point",2,0.15,0.05,1,0.08,0.08,"05-08-2015","Post-SSWD"
"Pillar Point",2,0.15,0.05,1,0.08,0.08,"05-08-2015","Post-SSWD"
"Pillar Point",11,0.84,0.26,2,0.15,0.15,"05-11-2016","Post-SSWD"
"Pillar Point",10,0.76,0.24,2,0.15,0.15,"04-19-2018","Post-SSWD"
"Pillar Point",20,1.53,0.48,2,0.15,0.15,"04-23-2018","Post-SSWD"
"Pillar Point",15,1.15,0.36,6,0.46,0.47,"05-17-2018","Post-SSWD"
"Pillar Point",10,0.76,0.24,3,0.23,0.23,"05-18-2018","Post-SSWD"
"Pillar Point",5,0.38,0.12,0,0,0,"03-16-2019","Post-SSWD"
"Pillar Point",17,1.3,0.41,3,0.23,0.23,"03-16-2019","Post-SSWD"
"Pillar Point",14,1.07,0.34,4,0.31,0.31,"04-14-2019","Post-SSWD"
"Pillar Point",3,0.23,0.07,1,0.08,0.08,"05-10-2019","Post-SSWD"
"Pillar Point",25,1.91,0.6,12,0.92,0.93,"10-30-2019","Post-SSWD"
"Pillar Point",22,1.68,0.53,3,0.23,0.23,"02-06-2020","Post-SSWD"
"Pillar Point",32,2.44,0.77,12,0.92,0.93,"03-05-2020","Post-SSWD"
"Pillar Point",10,0.76,0.24,4,0.31,0.31,"08-20-2020","Post-SSWD"
"Pillar Point",8,0.61,0.19,3,0.23,0.23,"10-17-2020","Post-SSWD"
"Pillar Point",20,1.53,0.48,4,0.31,0.31,"02-09-2021","Post-SSWD"
"Pillar Point",7,0.53,0.17,4,0.31,0.31,"04-07-2021","Post-SSWD"
"Pillar Point",14,1.07,0.34,9,0.69,0.7,"07-26-2021","Post-SSWD"
"Pillar Point",3,0.23,0.07,5,0.38,0.39,"07-26-2021","Post-SSWD"
"Pillar Point",47,3.59,1.13,7,0.53,0.54,"11-17-2021","Post-SSWD"
"Pillar Point",32,2.44,0.77,6,0.46,0.47,"11-21-2022","Post-SSWD"
"Pillar Point",13,0.99,0.31,4,0.31,0.31,"03-16-2023","Post-SSWD"
"Pillar Point",24,1.83,0.58,10,0.76,0.77,"03-27-2023","Post-SSWD"
"Pillar Point",33,2.52,0.79,15,1.15,1.17,"12-12-2023","Post-SSWD"
"Point Pinos",25,2.27,3.69,7,0.64,0.95,"02-17-2007","Pre-SSWD"
"Point Pinos",22,2,3.25,14,1.27,1.88,"02-26-2007","Pre-SSWD"
"Point Pinos",5,0.45,0.73,5,0.45,0.67,"04-24-2011","Pre-SSWD"
"Point Pinos",5,0.45,0.73,6,0.55,0.82,"04-24-2011","Pre-SSWD"
"Point Pinos",2,0.18,0.29,2,0.18,0.27,"04-24-2011","Pre-SSWD"
"Point Pinos",8,0.73,1.19,4,0.36,0.53,"05-10-2011","Pre-SSWD"
"Point Pinos",15,1.36,2.21,13,1.18,1.75,"05-11-2011","Pre-SSWD"
"Point Pinos",1,0.09,0.15,2,0.18,0.27,"01-21-2012","Pre-SSWD"
"Point Pinos",1,0.09,0.15,2,0.18,0.27,"03-07-2012","Pre-SSWD"
"Point Pinos",2,0.18,0.29,15,1.36,2.02,"03-07-2012","Pre-SSWD"
"Point Pinos",1,0.09,0.15,4,0.36,0.53,"03-09-2012","Pre-SSWD"
"Point Pinos",2,0.18,0.29,8,0.73,1.08,"04-11-2012","Pre-SSWD"
"Point Pinos",3,0.27,0.44,19,1.73,2.57,"05-10-2012","Pre-SSWD"
"Point Pinos",3,0.27,0.44,3,0.27,0.4,"02-09-2013","Pre-SSWD"
"Point Pinos",2,0.18,0.29,1,0.09,0.13,"11-02-2013","Post-SSWD"
"Point Pinos",0,0,0,0,0,0,"01-11-2014","Post-SSWD"
"Point Pinos",0,0,0,0,0,0,"05-19-2014","Post-SSWD"
"Point Pinos",0,0,0,0,0,0,"07-16-2014","Post-SSWD"
"Point Pinos",0,0,0,0,0,0,"03-29-2015","Post-SSWD"
"Point Pinos",1,0.09,0.15,1,0.09,0.13,"03-25-2018","Post-SSWD"
"Point Pinos",1,0.09,0.15,0,0,0,"01-20-2020","Post-SSWD"
"Point Pinos",1,0.09,0.15,0,0,0,"03-10-2020","Post-SSWD"
"Point Pinos",5,0.45,0.73,0,0,0,"08-05-2020","Post-SSWD"
"Point Pinos",5,0.45,0.73,0,0,0,"11-16-2020","Post-SSWD"
"Point Pinos",6,0.55,0.89,1,0.09,0.13,"02-10-2021","Post-SSWD"
"San Simeon",8,1.4,0.89,4,0.7,1.33,"02-28-2003","Pre-SSWD"
"San Simeon",10,1.75,1.11,2,0.35,0.67,"02-25-2013","Pre-SSWD"
"San Simeon",4,0.7,0.44,1,0.18,0.34,"12-02-2013","Post-SSWD"
"San Simeon",1,0.18,0.11,1,0.18,0.34,"12-14-2013","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"03-24-2014","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"07-15-2014","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"11-22-2014","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"12-04-2014","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"02-18-2015","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"08-04-2015","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"10-26-2015","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"04-28-2016","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"07-22-2016","Post-SSWD"
"San Simeon",2,0.35,0.22,0,0,0,"06-28-2017","Post-SSWD"
"San Simeon",2,0.35,0.22,1,0.18,0.34,"11-04-2017","Post-SSWD"
"San Simeon",2,0.35,0.22,1,0.18,0.34,"12-18-2017","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"03-27-2018","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"08-15-2018","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"04-24-2019","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"07-08-2019","Post-SSWD"
"Wilder Ranch",28,1.87,1,17,1.13,1,"10-26-2011","Pre-SSWD"
"Wilder Ranch",1,0.07,0.04,0,0,0,"12-30-2013","Post-SSWD"
"Wilder Ranch",0,0,0,2,0.13,0.12,"01-28-2014","Post-SSWD"
"Wilder Ranch",0,0,0,0,0,0,"04-21-2014","Post-SSWD"
"Wilder Ranch",12,0.8,0.43,0,0,0,"07-16-2014","Post-SSWD"
"Wilder Ranch",5,0.33,0.18,2,0.13,0.12,"06-06-2015","Post-SSWD"
